PLATAFORMA,TIPO,ESTADO,VENDEDOR,DIRECCIÓN,BARRIO/ZONA,Mts2 total,Mts2 Cubiertos,AMBIENTES,HABITACIONES,BAÑOS,PRECIO(u$d)
argenprop,galpón,39.0,Remax Tendencia,Marcos Ciani 3200,Barrio San Vicente,328.0,,,,1.0,110000.0
argenprop,casa quinta,,Remax Tendencia,Carelli 1400,Tiro Federal,800.0,,,3.0,2.0,125000.0
argenprop,casa,6.0,Remax Tendencia,Moreno 3600,Barrio San Vicente,479.0,142.0,3.0,2.0,2.0,70000.0
argenprop,casa,60.0,Remax Tendencia,Garibaldi 500,Barrio Centro 3,184.0,137.0,3.0,2.0,1.0,47000.0
argenprop,departamento,3.0,Remax Tendencia,Alvear 1200,Bernardino Rivadavia,44.0,44.0,2.0,1.0,1.0,55000.0
argenprop,casa,103.0,Remax Tendencia,Mitre 900,Barrio Centro 1,716.0,513.0,8.0,4.0,4.0,830000.0
argenprop,departamento,3.0,Remax Tendencia,Moreno 654,Barrio Centro 2,76.0,76.0,3.0,2.0,1.0,
argenprop,departamento,0.0,Remax Tendencia,25 De Mayo 85,Barrio Centro 1,48.0,48.0,2.0,1.0,1.0,67000.0
argenprop,casa,47.0,Remax Tendencia,Belgrano 2000,Barrio Norte,263.0,175.0,5.0,3.0,2.0,85000.0
argenprop,galpón,30.0,Remax Tendencia,Chacabuco 1800,Barrio Centro 2,,,,,1.0,95000.0
argenprop,departamento,53.0,Remax Tendencia,Mitre 700,Barrio Centro 1,99.0,99.0,3.0,2.0,1.0,
argenprop,casa,51.0,Remax Tendencia,San Lorenzo 534,General San Martín,252.0,111.0,3.0,2.0,1.0,55000.0
argenprop,casa quinta,,Remax Tendencia,Los Teros 1400,Los Robles,1350.0,,,3.0,2.0,122000.0
argenprop,casa quinta,,Remax Tendencia,República De Irlanda 4100,Los Pinos,2320.0,,,3.0,2.0,155000.0
argenprop,casa,21.0,Remax Tendencia,25 De Mayo 1900,Bernardino Rivadavia,585.0,202.0,4.0,3.0,2.0,
argenprop,departamento,0.0,Remax Tendencia,Ayacucho 200,Barrio Centro 3,53.0,53.0,2.0,1.0,1.0,74000.0
argenprop,casa,63.0,Remax Tendencia,Alvear 1000,Barrio Centro 2,200.0,127.0,7.0,2.0,1.0,90000.0
argenprop,departamento,3.0,Remax Tendencia,Alvear 0,Barrio Centro 1,40.0,40.0,2.0,1.0,1.0,77000.0
argenprop,casa,83.0,Remax Tendencia,Iturraspe 600,Barrio Centro 1,940.0,490.0,10.0,6.0,3.0,690000.0
argenprop,casa quinta,,Remax Tendencia,Chaco 3751,Malvinas Argentinas,1078.0,,,3.0,3.0,230000.0
argenprop,departamento,61.0,Remax Tendencia,9 De Julio 500,Bernardino Rivadavia,89.0,89.0,5.0,3.0,2.0,83000.0
argenprop,casa,47.0,Remax Tendencia,Catamarca 501,San Cayetano,237.0,212.0,4.0,2.0,1.0,55000.0
argenprop,casa,34.0,Remax Tendencia,Liniers 700,San Cayetano,250.0,127.0,4.0,2.0,1.0,68000.0
argenprop,departamento,0.0,Remax Tendencia,3 De Febrero 200,Pedro Iturbide,61.0,61.0,2.0,1.0,1.0,79000.0
argenprop,casa,39.0,Remax Tendencia,Cerrito 400,Tiro Federal,196.0,75.0,3.0,2.0,1.0,38000.0
argenprop,galpón,,Gr Propiedades,Moreno 370,Barrio Centro 2,356.0,,,,,165000.0
argenprop,casa,50.0,Filippetti Kearney,Cabral 100,Barrio Centro 3,308.0,200.0,3.0,2.0,2.0,150000.0
argenprop,departamento,15.0,Ana Rhode ,España 200,Malvinas Argentinas,34.0,34.0,1.0,,1.0,45000.0
argenprop,casa,50.0,Ana Rhode ,San Martín 1700,Barrio Norte,187.0,122.0,,2.0,1.0,68000.0
argenprop,casa,85.0,Ana Rhode ,Juan Bautista Alberdi 100,Barrio Centro 3,387.0,130.0,,2.0,2.0,
argenprop,departamento,,Ana Rhode ,Pellegrini 700,Barrio Centro 1,,,4.0,3.0,2.0,150000.0
argenprop,casa,,Ana Rhode ,Balcarce 1300,Barrio Centro 1,645.0,275.0,,,,
argenprop,casa,38.0,Ana Rhode ,Uruguay 200,General San Martín,394.0,123.0,3.0,2.0,2.0,55000.0
argenprop,casa,80.0,Ana Rhode ,Belgrano 1200,Barrio Centro 1,638.0,203.0,4.0,3.0,2.0,190000.0
argenprop,departamento,,Ana Rhode ,Alvear 1600,Barrio Centro 2,77.0,77.0,3.0,2.0,1.0,65000.0
argenprop,departamento,20.0,Ana Rhode ,Chacabuco 900,Barrio Centro 1,77.0,77.0,3.0,2.0,1.0,64000.0
argenprop,casa,12.0,Ana Rhode ,Lascala 3300,Los Pinos,250.0,58.0,,,,35000.0
argenprop,casa,17.0,Ana Rhode ,Gobernador Cullen 300,,240.0,100.0,4.0,3.0,1.0,56000.0
argenprop,casa,5.0,Agrorosario,Gaumont 1300,,250.0,180.0,3.0,3.0,2.0,
argenprop,casa,3.0,Remax Tendencia,Dorrego 3300,Villa Casey,300.0,36.0,2.0,1.0,1.0,40000.0
argenprop,departamento,6.0,Remax Tendencia,Lisandro De La Torre 400,Barrio Centro 2,54.0,54.0,2.0,1.0,1.0,63000.0
propia,departamento,0.0,Romero Y Asociados,España 600,Santa Rosa,89.0,78.0,4.0,2.0,2.0,
propia,departamento,0.0,Romero Y Asociados,España 600,Santa Rosa,,,2.0,1.0,1.0,
propia,departamento,0.0,Proin,Castelli 800,Barrio Centro 1,101.0,101.0,3.0,2.0,1.0,136350.0
propia,departamento,0.0,Proin,Caseros 36,General Belgrano,46.0,46.0,2.0,1.0,1.0,50700.0
propia,departamento,0.0,Proin,Caseros 36,General Belgrano,45.0,45.0,2.0,1.0,1.0,49200.0
propia,casa quinta,,Proin,Ernesto Di Martino 1000,Los Robles,145.0,145.0,7.0,3.0,2.0,90000.0
propia,casa,,Romero Y Asociados,Moreno 1300,Barrio Centro 2,234.0,234.0,8.0,3.0,3.0,
